,score,tweet
0,0.0,"Here we go.  BANK FAIL FRIDAY -- The FDIC says the Bradford Bank in Baltimore, Maryland has become the 82nd bank failure of the year.
"
1,0.0,"Someone called in sick hopefully i am not stuck here late :(
"
2,2.0,"have now switched debates to torture devices
"
3,2.0,": a &quot;great and terrible capacity for love.&quot;
"
4,0.0,"Turning out to be a bad day, Underpaid, overworked, broke..What else? Im really sick of it
"
5,2.0,"Sorry not Up ""UM ""Dead Knock um dead Emily!""
"
6,2.0,"Wondering if tomorrow will turn into National Call in Sick Day?!?!
"
7,0.0,"Oh, I'm afraid your Windows-using friends will not survive.
"
8,2.0,"off to work to do some more painting, and turn the server back on seen as we left it off yesterday and some sad git wants to go on it
"
9,0.0,"Ear infection making it impossible 2 sleep. headed 2 the doctors 2 get new prescription. so fucking early.
"
10,2.0,"What the hell does a terrorist have to do to get sent to Sweden? Get caught with one of Bin Laden's wives?
"
11,0.0,"Somewhere in my car, there is a dead bug. Gross.
"
12,2.0,"Just adlibbed a sick jam on stage in G minor.  Delay repeating for days.  Really ambient.
"
13,2.0,"So a guy I know at work has worked on a tentacle rape game. He is your hero, Internet.
"
14,0.0,"Sad how a lot of Halloween has turned into so much orange plastic in the landfills...
"
15,0.0,"I left you a email message. I'm very unhappy now. I don't want to meet anyone.
"
16,0.0,"Spaghetti warehouse made me sick
"
17,0.0,"nesting screens makes my brain hurt
"
18,2.0,"Should be tired. Am not. Will never abuse the word ""insomnia"" again. Promise.
"
19,0.0,"is so sick of studying for his final tomorrow.
"
20,2.0,"Suddenly afraid of turning 18 this November
"
21,0.0,"After those dreams I had last night, I'm filing abuse and assault charges against my brain.
"
22,0.0,"@joshriedel sat through the whole funeral eating Cheez Doodles, Liz?
"
23,2.0,"@ a death and taxes BBQ
"
24,0.0,"wow, what a bad sleep.  does it count as a nightmare if it's a true and fair depiction of reality?
"
25,0.0,"wondering if pepper is sick again!!! oh noes
"
26,0.0,"caughing and feeling pissed that I am sick
"
27,0.0,"Marc Almond + Roxanne Shante + Alan Vega up on stage together = total fucking musical disaster 
"
28,0.0,"Is sad can't go to the moldov ample theater for nkotn
"
29,2.0,"@patricknorton Wow what a mess, death to Media Defender. Now where did I leave my botnet...
"
30,1.0,"I'm almost afraid to say it, but so far my program for tomorrow is actually on track.
"
31,2.0,"completely brain dead after a marathon day of meetings.
"
32,2.0,"thinkin bout doin some programering but dont wanna eyes hurt little
"
33,2.0,"@twleung why so unhappy with them?
"
34,0.0,"Upset that tv has let me down
"
35,0.0,"GENERAL SYSTEM FAILURE
"
36,1.0,"@Eris installing your killer apps now :D
"
37,2.0,"@leeodden re: xmas cards - digital is much preferable. Same impact, sometimes significantly more. Less dead trees &amp; postage and wasted cash.
"
38,0.0,"I have to go to a funeral tomorrow for someone on my twitter following list. so not looking forward to it.
"
39,0.0,"Sohail doesn't tweet anymore... I'm so sad :(
"
40,0.0,"Trying to bring my iMac back from the dead after a failed Leopard upgrade.
"
41,0.0,"On the road to our 2nd funeral in a month.
"
